"license.number","dba.name","aka.name","facility.address","facility.city","facility.zip","risk.category","status","license.code","latitude","longitude","lat","lng"
"1331608","FULLWEST BP CORPORATION","FULLWEST BP CORPORATION","2357 W FULLERTON AVE","CHICAGO",60647,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9248275,-87.6874179
"1331660","GUADALAJARA BAKERY","GUADALAJARA BAKERY","4014 W ARMITAGE AVE","CHICAGO",60639,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.9172671767264,-87.7272639972746,NA,NA
"1331747","J & J FISH & CHICKEN","J & J FISH & CHICKEN","7450 S DR. MARTIN LUTHER KING DR","CHICAGO",60619,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.7587227316104,-87.6152755525224,NA,NA
"1331991","TINA'S","TINA'S","5440 S NARRAGANSETT AVE","CHICAGO",60638,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.7930059854886,-87.781974561621,NA,NA
"1332012","JOE'S BREAKFAST AND GRILL","JOE'S BREAKFAST AND GRILL","1156 1/2 W 51ST ST","CHICAGO",60609,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8015634820792,-87.654916740335,NA,NA
"1332020","FAMILY DOLLAR #5319","FAMILY DOLLAR #5319","5050 S PULASKI RD","CHICAGO",60632,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.800851444068,-87.7235275505334,NA,-87.6773956
"1332161","T JOELS FAMILY RESTAURANT","T JOELS FAMILY RESTAURANT","1928 W CERMAK RD","CHICAGO",60608,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8523041696631,-87.6745800100137,NA,NA
"1332164","LOS ALAMOS, INC.","LOS ALAMOS, INC","2157 S DAMEN AVE","CHICAGO",60608,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8522885546991,-87.6756974792623,NA,NA
"1332343","CITGO","CITGO","5150 W CHICAGO AVE","CHICAGO",60651,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.8949605,-87.7549648
"1332360","DONALDS FAMOUS HOT DOGS","DONALDS FAMOUS HOT DOGS","2325 S WESTERN AVE","CHICAGO",60608,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8494151528453,-87.685416226155,NA,NA
"1332365","TACO & BURRITO HOUSE","TACO & BURRITO HOUSE","2430 N CENTRAL AVE","CHICAGO",60639,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9249181994844,-87.7661714410614,NA,NA
"1332386","STARVOS GYROS","STARVOS GYROS","2653 N HARLEM AVE","CHICAGO",60707,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9286165,-87.8063917
"1332440","16 COMMUNITY FOOD","16 COMMUNITY FOOD","3620 W 16TH ST","CHICAGO",60623,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.8590937,-87.716088
"1332477","DeLux Bar & Grill","DeLux Bar & Grill","669 N MILWAUKEE AVE","CHICAGO",60622,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8938344042796,-87.6514628691263,NA,-87.6773956
"1332512","BLOOMINGDALE'S HOMESTORE","BLOOMINGDALE'S HOMESTORE","600 N WABASH AVE","CHICAGO",60611,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.892906,-87.627148
"1332552","LOOKINGGLASS THEATRE COMPANY","LOOKINGGLASS THEATRE COMPANY","163 E PEARSON ST","CHICAGO",60611,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.897195,-87.6230863
"1332616","CAPTAIN HOOKS","CAPTAIN HOOKS/FIREHOUS E STEAK AND LEMONADE","1600 W 13TH ST","CHICAGO",60608,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.8651887634266,-87.6664692403286,NA,NA
"1332646","BASKIN ROBBINS","BASKIN ROBBINS","31 E ADAMS ST","CHICAGO",60603,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.8793990798564,-87.6265591057741,NA,NA
"1332657","SPECIALTY'S CAFE BAKERY","SPECIALTY'S CAFE BAKERY","191 N WACKER DR","CHICAGO",60606,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8855344999419,-87.6366760914745,NA,NA
"1332670","JB'S DELI INC.","JB'S DELI","5501 N CLARK ST","CHICAGO",60640,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9817233658833,-87.6682876552293,NA,NA
"1332711","LANDMARK CENTURY CENTRE CINEMA","LANDMARK CENTURY CENTRE CINEMA","2828 N CLARK ST","CHICAGO",60657,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.933474039451,-87.6455992916614,NA,NA
"1332717","EL CHISME","EL CHISME","4440 S WESTERN AVE","CHICAGO",60609,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8126609115067,-87.6846962034421,NA,-87.6773956
"1332910","MCDONALD'S REST. OF ILLINOIS, INC","MCDONALD'S REST. OF ILLINOIS, INC","2317 N CICERO AVE","CHICAGO",60639,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.9229310425538,-87.7461194779431,NA,NA
"1332913","MCDONALD'S","MCDONALD'S","2609 S KEDZIE AVE","CHICAGO",60623,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.844202240983,-87.7048869943916,NA,NA
"1332914","SUNSHINE","SUNSHINE","3523 N KEDZIE AVE","CHICAGO",60618,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9456421421314,-87.7076488102744,NA,NA
"1332921","MCDONALD'S","MCDONALD'S","2005 W Chicago AVE","CHICAGO",60622,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.8957965124416,-87.6773227997198,NA,NA
"1332927","MCDONALD'S","MCDONALD'S","2438 W CERMAK RD","CHICAGO",60608,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.8521245314486,-87.6872821649016,NA,NA
"1332928","MCDONALD'S","MCDONALD'S","1664 S BLUE ISLAND AVE","CHICAGO",60608,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.858128211052,-87.6611125635149,NA,NA
"1332969","Yang","Yang","28 E ROOSEVELT RD","CHICAGO",60605,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8675392910873,-87.6261246894076,NA,NA
"1333","JEWEL FOOD STORE #3210","JEWEL FOOD STORE","1210 N CLARK ST","CHICAGO",60610,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.904265228256,-87.6316032945895,NA,-87.6773956
"1333098","UNITED CLUB,TERMINAL 1 CONCOURSE B SOUTH","UNITED CLUB (T1 B6)","11601 W TOUHY AVE","CHICAGO",60666,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",42.0085364008687,-87.9144284392705,NA,NA
"1333207","Lite House Restaurant","Lite House Restaurant","2400 W CHICAGO AVE","CHICAGO",60622,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.8957335,-87.6880669
"1333222","THE AMBER PYRAMID INC","THE AMBER PYRAMID INC","2041 W CARROLL AVE","CHICAGO",60612,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.8876279,-87.6785206
"1333235","UNITED CLUB ,T-1 CONCOURSE C","UNITED CLUB (T1 C16)","11601 W TOUHY AVE","CHICAGO",60666,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",42.0085364008687,-87.9144284392705,NA,NA
"1333242","UNITED FIRST INTERNATIONAL LOUNGE T1,CONCOURSE C","INTERNATIONAL GLOBAL FIRST CLASS LOUNGE (T1 C18)","11601 W TOUHY AVE","CHICAGO",60666,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",42.0085364008687,-87.9144284392705,NA,NA
"1333385","BMD ENTERPRISES OF ILLINOIS","BMD ENTERPRISES OF ILLINOIS","3608 S KEDZIE AVE","CHICAGO",60632,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.827806,-87.704922
"1333405","MAXWELL STREET DEPOT II","MAXWELL STREET DEPOT II","2501-2505 S ARCHER AVE","CHICAGO",60608,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.8469212,-87.6466752
"1333490","MERLO ON MAPLE","MERLO ON MAPLE","16 W MAPLE ST","CHICAGO",60610,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9019858710063,-87.6290118806631,NA,-87.6773956
"1333539","HIGH SPLASH, INC","HIGH SPLASH, INC","6300 S DAMEN AVE","CHICAGO",60636,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.7792977,-87.6739133
"1333594","EDENS LIQUOR & FOOD II","EDENS LIQUOR & FOOD","5359 N LINCOLN AVE","CHICAGO",60625,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.979469890351,-87.6925442435962,NA,NA
"1333604","EXPRESS SUSHI DELI","EXPRESS SUSHI DELI","2439 N CLARK ST","CHICAGO",60614,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9267081,-87.640913
"1333635","IMPROV KITCHEN","IMPROV KITCHEN","3419 N CLARK ST","CHICAGO",60657,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9440016,-87.653934
"1333806","TACO LOCO","TACO LOCO","3409 S HALSTED ST","CHICAGO",60608,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.832132,-87.645785
"1333944","7- ELEVEN","7- ELEVEN","4001 W 59TH ST","CHICAGO",60629,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.7858256936219,-87.7230190711659,NA,NA
"1333951","MCDONALD'S","MCDONALD'S","2400 N LINCOLN AVE","CHICAGO",60614,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.925435975229,-87.6489509885183,NA,NA
"1333972","A.M.S. MEAT MART","A.M.S. MEAT MART","9357 S COTTAGE GROVE AVE","CHICAGO",60619,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.72408,-87.604065
"1333996","BOMBONERA CAFE","BOMBONERA CAFE","3103 W LOGAN BLVD","CHICAGO",60647,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9281402,-87.705119
"1334013","LAPAZ RESTAURANT","LAPAZ RESTAURANT","9625 S EWING AVE","CHICAGO",60617,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.7205904619509,-87.535142401317,NA,NA
"1334026","MARKET IN THE PARK","MARKET IN THE PARK","5050 S LAKE SHORE DR","CHICAGO",60615,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.8028797781133,-87.5818436939268,NA,NA
"1334101","GLORIA DEI LUTHERAN CHURCH","GLORIA DEI LUTHERAN CHURCH","5259 S MAJOR AVE","CHICAGO",60638,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.7964762423526,-87.7647088707674,NA,NA
"1334106","EMILY'S DELI","EMILY'S DELI","4741 S ASHLAND AVE","CHICAGO",60609,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.8073781,-87.6648466
"1334155","DIRK FISH & GOURMET SHOP INC","DIRK FISH & GOURMET SHOP","2070 N CLYBOURN AVE","CHICAGO",60614,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9189314240257,-87.6608942170866,NA,NA
"1334184","E & M FOOD, INC.","E & M FOOD, INC.","1908 E 71ST ST","CHICAGO",60649,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.7662221,-87.5783022
"1334233","LA PEQUENA TAQUERIA & RESTAURANT","LA PEQUENA TAQUERIA & RESTAURANT","3910 W NORTH AVE","CHICAGO",60647,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9101911,-87.7244106
"1334243","THE LITTLE FRANCIS MAXWELL STREET POLISH PORKCHOP 51ST ST",NA,"1724 W 51ST ST","CHICAGO",60609,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",NA,NA,41.801524,-87.668257
"1334306","AT MR. K'S","AT MR. K'S","4911 W DIVERSEY AVE","CHICAGO",60639,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.931243,-87.74958
"1334316","LUELLA FOOD MART INC.","LUELLA FOOD MART INC.","2226 E 79TH ST","CHICAGO",60649,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.7517759,-87.5700557
"1334318","MCDONALD'S#20518","MCDONALD'S#20518","29 N WACKER DR","CHICAGO",60606,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.8827939,-87.636511
"1334386","CONVENIENT FOOD & LIQUOR","CONVENIENT FOOD & LIQUOR","7319-7321 W IRVING PARK RD","CHICAGO",60634,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.9525722628767,-87.8107995731542,NA,NA
"1334442","TRASPASADA RESTAURANT","TRASPASADA RESTAURANT","3144 N CALIFORNIA AVE","CHICAGO",60618,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9389462484495,-87.6979561757184,NA,NA
"1334497","JEWELL EVENTS CATERING","JEWELL EVENTS CATERING","424 N WOOD ST","CHICAGO",60622,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8895724130893,-87.672130097824,NA,NA
"1334504","FAIR SHARE FINE FOOD","FAIR SHARE FINE FOOD","6422 W 63RD ST","CHICAGO",60638,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.7777686684123,-87.782336894618,NA,-87.6773956
"1334509","SHELL","SHELL","5545 W DIVERSEY AVE","CHICAGO",60639,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.931267,-87.7655074
"1334605","42 N LATITUDE","42 N LATITUDE","4500 N LINCOLN AVE","CHICAGO",60625,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9632284015129,-87.6851904429567,NA,NA
"1334706","TRASPASADA #2","TRASPASADA #2","811 N ASHLAND AVE","CHICAGO",60622,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8964372084071,-87.6671546654279,NA,NA
"1334777","KEVIN'S PERK-U-LATER","KEVIN'S PERK-U-LATER","2466 W ARMITAGE AVE","CHICAGO",60647,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.917717,-87.690178
"1334785","TANK SUSHI","TANK SUSHI","4514 N LINCOLN AVE","CHICAGO",60625,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9635663605596,-87.6854110189833,NA,NA
"1334825","WILCOX CANTEEN INC.","WILCOX CANTEEN INC.","131 S PULASKI RD","CHICAGO",60624,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.8785713,-87.725415
"1334960","CHISME EXPRESS INC.","CHISME EXPRESS INC.","5955 S PULASKI RD","CHICAGO",60629,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.7842889832101,-87.7227707847782,NA,NA
"1334980","AFRICAN HOME FOOD MARKET","AFRICAN HOME FOOD MARKET","8462 S COMMERCIAL AVE","CHICAGO",60617,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.741748,-87.551867
"13350","ROYAL FOOD & LIQUOR INC","ROYAL FOOD & LIQUOR INC","5756 N RIDGE AVE","CHICAGO",60660,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9866236,-87.6650074
"1335035","PHILLIP 66","PHILLIP 66","8647-49 S ASHLAND AVE","CHICAGO",60620,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.7366176,-87.6629844
"1335044","Chipotle Mexican Grill","Chipotle Mexican Grill","610 W DIVERSEY PKWY","CHICAGO",60614,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.9329181845654,-87.6445078975112,NA,NA
"1335044","CHIPOTLE MEXICAN GRILL","CHIPOTLE MEXICAN GRILL","610 W DIVERSEY PKWY","CHICAGO",60614,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9329181845654,-87.6445078975112,NA,NA
"1335063","J & S FOODS, INC","J & S FOODS, INC","3179 W MADISON ST","CHICAGO",60612,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.880879,-87.7058815
"1335123","SHRIJI NEWSTAND, INC.","SHRIJI NEWSTAND, INC.","4901 S WESTERN BLVD","CHICAGO",60609,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.8047763,-87.6837446
"1335178","FAMILY GROCERY","FAMILY GROCERY","4910 W END AVE","CHICAGO",60644,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.8831066,-87.7482324
"1335179","A'S RESTAURANT & PANCAKE HOUSE","A'S RESTAURANT & PANCAKE HOUSE","6358 W IRVING PARK RD","CHICAGO",60634,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9530277752649,-87.7864395861693,NA,-87.6773956
"1335273","LAKE SHORE FOOD","LAKE SHORE FOOD","8400 S BAKER AVE","CHICAGO",60617,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.741696,-87.547965
"1335321","M G CITGO","M G CITGO","6353 W FULLERTON AVE","CHICAGO",60639,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.923392,-87.785146
"1335410","STATE WAY SUBMARINE","STATE WAY SUBMARINE","3703 S STATE ST","CHICAGO",60609,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.827088,-87.626107
"1335519","DAVIDSON HOTEL COMPANY","Marriott Chicago Medical District/UIC","625 S ASHLAND AVE","CHICAGO",60607,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8734345658004,-87.666433681443,NA,NA
"1335555","JACK'S FISH CHICKEN & MORE","JACK'S FISH CHICKEN & MORE","1116 S KEDZIE AVE","CHICAGO",60612,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.8677234001735,-87.705856863131,NA,NA
"1335584","FRUTERIA LOS PANCHOS","FRUTERIA LOS PANCHOS","1314 W 31ST ST","CHICAGO",60608,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.8379501,-87.6591314
"1335606","KEDVALE FOOD INC.","KEDVALE FOOD INC.","4132 W 16TH ST","CHICAGO",60623,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.859048,-87.728781
"1335616","SHARKS FISH & CHICKEN","SHARKS FISH & CHICKEN","9454 S COTTAGE GROVE AVE","CHICAGO",60619,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.722292,-87.6048689
"1335642","SUPER STORES SUITE C 61-62",NA,"5220 S PULASKI RD","CHICAGO",60632,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",NA,NA,41.797984,-87.72459
"1335747","AMER FOOD MART","AMER FOOD MART","3458 W LAKE ST","CHICAGO",60624,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.8848798693272,-87.7134272516448,NA,NA
"1335783","MINI MART","MINI MART","7120 S YATES BLVD","CHICAGO",60649,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.765493,-87.566838
"1335879","ROOM 12","ROOM 12","1152 S WABASH AVE","CHICAGO",60605,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8676943781139,-87.6259790274915,NA,NA
"1335894","EXCELSIOR GARDEN","EXCELSIOR GARDEN","4855 N MILWAUKEE AVE","CHICAGO",60630,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9693152432995,-87.7618202554028,NA,NA
"1335953","FOGATA VILLAGE, INC","FOGATA VILLAGE RESTAURANT","1820 S ASHLAND AVE","CHICAGO",60608,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8571175658777,-87.6662743246441,NA,NA
"1336113","Butera Restaurant","Butera Restaurant","2200 N LINCOLN AVE","CHICAGO",60614,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9220295,-87.644337
"1336220","51ST CONVENIENCE STORE","51ST CONVENIENCE STORE","343 - 345 E 51ST ST","CHICAGO",60615,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.801868,-87.6175729
"1336362","GATEWAY NEWSTANDS","GATEWAY NEWSTANDS","2520 S ARCHER AVE","CHICAGO",60608,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.8468676,-87.6482038
"1336364","THE ARTISAN CELLARS","THE ARTISAN CELLARS","222 W MERCHANDISE MART PLZ","CHICAGO",60654,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8880742810662,-87.6349552029274,NA,NA
"1336405","JIM NOODLE & RICE","JIM NOODLE & RICE","2819 N LINCOLN AVE","CHICAGO",60657,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9332769,-87.659145
"1336454","CITGO GAS & FOOD MART","CITGO GAS & FOOD MART","1001 N CICERO AVE","CHICAGO",60651,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.898985,-87.745574
"1336549","THE GARDEN DELI","THE GARDEN DELI","8801 S HALSTED ST","CHICAGO",60620,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.734152,-87.643144
"1336561","LA GONDOLA","LA GONDOLA","2914 N ASHLAND AVE","CHICAGO",60657,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9346788916793,-87.6686249686075,NA,NA
"1336582","SUBWAY","SUBWAY","3203 W 63RD ST","CHICAGO",60629,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.7789645,-87.703169
"1336669","4343 PETES FRESH MARKET","4343 PETES FRESH MARKET","4343 S PULASKI RD","CHICAGO",60632,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8139143113469,-87.7236649419466,NA,-87.6773956
"1336733","LO BBY NEWSTAND","LO BBY NEWSTAND","100 W RANDOLPH ST","CHICAGO",60601,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.8845862671546,-87.631010445886,NA,NA
"1336758","CVS/Pharmacy #5768","CVS/Pharmacy #5768","130 S CANAL ST","CHICAGO",60606,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.8796162680174,-87.6397645234337,NA,NA
"1336760","CVS/Pharmacy #5768","CVS/Pharmacy #5768","130 S CANAL ST","CHICAGO",60606,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.8796162680174,-87.6397645234337,NA,NA
"1336770","7- ELEVEN","7- ELEVEN","416-418 N STATE ST","CHICAGO",60610,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.8898753171855,-87.6281490413335,NA,NA
"1336773","THE PASTA BOWL COMPANY","THE PASTA BOWL COMPANY","2434-2436 N CLARK ST","CHICAGO",60614,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9264533197366,-87.6411696521496,NA,NA
"1336796","THAI AVENUE RESTAURANT","THAI AVENUE RESTAURANT","4949-51 N BROADWAY","CHICAGO",60640,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9729630510254,-87.6596286197798,NA,NA
"1336798","DAN CEN","DAN CEN","5114 N LINCOLN AVE","CHICAGO",60625,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.9745466,-87.6924483
"1336824","KING CHOP SUEY","KING CHOP SUEY","10912 S HALSTED ST","CHICAGO",60628,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.6955131,-87.6425573
"1336956","SNA SHRIMP & FISH","SNA SHRIMP & FISH","2451 W 63RD ST","CHICAGO",60629,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.778941,-87.6856899
"1336958","CHICAGO'S PIZZA","CHICAGO'S PIZZA","1919-1921 W MONTROSE AVE","CHICAGO",60613,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9613729328871,-87.6768252331503,NA,NA
"1336993","MKM THREE","MKM THREE","1525 W 51ST ST","CHICAGO",60609,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.801069,-87.663385
"1337","JEWEL FOOD STORE #3282","JEWEL FOOD STORE","4729 N CENTRAL AVE","CHICAGO",60630,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9667971120006,-87.7672994806274,NA,NA
"1337035","WHITE HEN PANTRY","WHITE HEN PANTRY","1 E 14TH PL","CHICAGO",60605,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.863767,-87.626914
"1337037","WHITE HEN PANTRY","WHITE HEN PANTRY","1524 W TAYLOR ST","CHICAGO",60607,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.869375,-87.6650736
"1337112","landmark bagels","landmark bagels","442 W RANDOLPH ST","CHICAGO",60606,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.8844439,-87.639275
"1337133","SUGAR MAMA","BROWN SUGAR BAKERY","328 E 75TH ST","CHICAGO",60619,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",NA,NA,41.7584577,-87.6171918
"1337179","SHIMBO'S","SHIMBO'S","4358 S WOOD ST","CHICAGO",60609,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.814101519845,-87.6701201127055,NA,NA
"1337195","Fischman Liquors","Fischman Liquors","4780 N MILWAUKEE AVE","CHICAGO",60630,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.9675133864464,-87.7606068346919,NA,NA
"1337207","DUKE'S CHICAGO BAR AND GRILL","DUKE'S CHICAGO BAR AND GRILL","2616 N CLARK ST","CHICAGO",60614,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9300342973725,-87.6436408898378,NA,NA
"1337266","OLIVE MOUNT MART","OLIVE MOUNT MART","3536 W 63RD ST","CHICAGO",60629,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.7789401249448,-87.7118685722898,NA,NA
"1337274","OLD CHICAGO PIZZA CO","OLD CHICAGO PIZZA CO","742 E 79TH ST","CHICAGO",60619,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.7513792719132,-87.605961882408,NA,NA
"1337364","POAG MAHONE'S","POAG MAHONE'S","175 W JACKSON BLVD","CHICAGO",60604,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8780144872495,-87.6331890300144,NA,NA
"1337447","MIMI'S SPECIALTY SUBS & SANDWICHES INC.","MIMI'S SPECIALTY SUBS & SANDWICHES INC.","1612 W IRVING PARK RD","CHICAGO",60613,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.954564,-87.669709
"1337457","BON APPETIT MANAGEMENT CO","BON APPETIT MANAGEMENT CO","111 S MICHIGAN AVE","CHICAGO",60603,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8805278219308,-87.6242094658588,NA,-87.6773956
"1337574","FAMILY DOLLAR #5392","FAMILY DOLLAR #5392","1200 W 87TH ST","CHICAGO",60620,"Risk 3 (Low)","Active","1006-FOOD RETAIL",41.7360440895436,-87.6534042417978,NA,NA
"1337580","UNITED GRILL","UNITED GRILL","4803 W ARMITAGE AVE","CHICAGO",60639,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.9168217946747,-87.7462615794769,NA,NA
"1337596","m. henry LLC","m. henry LLC","5707 N CLARK ST","CHICAGO",60660,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,41.985692,-87.668875
"1337708","7- ELEVEN","7- ELEVEN","2010 N DAMEN AVE","CHICAGO",60647,"Risk 2 (Medium)","Active","1006-FOOD RETAIL",41.9181053424085,-87.6777805387856,NA,NA
"1337715","JAPONAIS","JAPONAIS","600 W CHICAGO AVE","CHICAGO",60654,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8965851911996,-87.642996181725,NA,NA
"1337726","VILLAGE NORTH THEATRE","VILLAGE NORTH THEATRE","6746 N SHERIDAN RD","CHICAGO",60626,"Risk 3 (Low)","Active","1006-FOOD RETAIL",NA,NA,42.0048374,-87.6611781
"1337761","LAS CAZUELAS GRILL INC.","LAS CAZUELAS GRILL INC.","4720 S PULASKI RD","CHICAGO",60632,"Risk 1 (High)","Active","1006-FOOD RETAIL",41.8072166463284,-87.7237131576113,NA,NA
